

#ID = 
#TYPE = Probe type, e.g. cDNA_clone for probes derived from a cDNA clone
#ReporterID = Brief probe ID/name, e.g. ID for the cDNA clone used to produce probe
#GeneName = Gene description annotation for probe
#GeneSymbol = Gene symbol annotation for probe
#UniGeneCluster = UniGene cluster ID annotation for probe
#UniGeneBuild = The UniGene build from which probe annotations were collected
#GB_LIST = GeneBank accession and/or RefSeq number annotation for probe
#EntrezGene = Entrez ID annotation for probe
#vector = cDNA clone vector name
#InsertLength = Length of vector insert
#ARRAY_BLOCK = Array block number, i.e. a number from 1 to 48
#BLOCK_COLUMN = Column within array block
#BLOCK_ROW = Row within array block
#SPOT_ID = spot identifier
#CLONE_ID = IMAGE clone identifier
ID	TYPE	ReporterID	GeneName	GeneSymbol	UniGeneCluster	UniGeneBuild	GB_LIST	EntrezGene	vector	InsertLength	ARRAY_BLOCK	BLOCK_COLUMN	BLOCK_ROW	SPOT_ID	CLONE_ID
16	cDNA_clone	BC TAX 5 G06	AF267861 EF1a-like protein(translation?)								1	16	1	BC TAX 5 G06	
17	cDNA_clone	BC TAX 5 A12	NC_001807 cytochrome c oxidase subunit III(apoptosis)								1	17	1	BC TAX 5 A12	
18	cDNA_clone	BC TAX 5 C12	XM_002027 aryl hydrocarbon receptor nuclear translocator (ARNT)(transcription factor)								1	18	1	BC TAX 5 C12	
19	cDNA_clone	BC TAX 5 E12									1	19	1	BC TAX 5 E12	
20	cDNA_clone	BC TAX 5 G12									1	20	1	BC TAX 5 G12	
21		no clone									1	21	1	--NO CLONE	
22		no clone									1	22	1	--NO CLONE	
23	Control	Blank_DMSO	Blank 50% DMSO								1	23	1	--Blank_DMSO	
24		EMPTY_WELL									1	24	1	--EMPTY_WELL	
25	cDNA_landinglight	IMAGE:2580289	B-actin_1/16	ACTB	Hs.520640	188	AW081870,  NM_001101	60	pCMV-SPORT6		1	1	2		
26	cDNA_clone	IMAGE:714210	Putative nucleic acid binding protein RY-1	RY1	Hs.54649	188	AA293191,  NM_006857	11017	pT3T7-Pac	1697	1	2	2		
27	cDNA_clone	IMAGE:471641	Hydroxysteroid (17-beta) dehydrogenase 6	RODH	Hs.524513	188	AA034944,  NM_003725	8630	pT3T7-Pac	1190	1	3	2		
28	cDNA_clone	IMAGE:204257	ADAM metallopeptidase domain 9 (meltrin gamma)	ADAM9	Hs.2442	188	H59230,  NM_003816	8754	pT3T7-Pac	2000	1	4	2		
29		no clone									1	5	2	--NO CLONE	
30	cDNA_clone	IMAGE:770059	Low density lipoprotein receptor class A domain containing 2|Heparan sulfate proteoglycan 2 (perlecan)	N/A|HSPG2	MULTIPLE: Hs.470489|Hs.555874	188	AA427561	401944|3339	pT3T7-Pac	721	1	6	2		
31	cDNA_clone	IMAGE:243159	Occludin	OCLN	Hs.482439	188	H94471,  NM_002538	4950	pT3T7-Pac	1937	1	7	2		
32	cDNA_clone	IMAGE:531957	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	UBE2G1	Hs.462035	188	AA113881,  NM_003342	7326	pBluescriptSK-	2000	1	8	2		
33	cDNA_clone	IMAGE:50888	Peroxiredoxin 3	PRDX3	Hs.523302	188	H19203,  NM_006793	10935	LafmBA	1760	1	9	2		
34	cDNA_clone	IMAGE:866694	Protein tyrosine phosphatase-like A domain containing 1	HSPC121	Hs.512973	188	AA679177,  NM_016395	51495	pBluescriptSK-	2000	1	10	2		
35	cDNA_clone	IMAGE:200018	T-cell leukemia/lymphoma 1A	TCL1A	Hs.2484	188	R97095,  NM_021966	8115	pT3T7-Pac	1145	1	11	2		
36	cDNA_clone	IMAGE:756687	Scavenger receptor class B, member 1	SCARB1	Hs.298813	188	AA443899,  NM_005505	949	pT3T7-Pac	899	1	12	2		
37	cDNA_clone	IMAGE:26568	Early growth response 3	EGR3	Hs.534313	188	R39111,  NM_004430	1960	LafmBA	1107	1	13	2		
38	cDNA_clone	IMAGE:809876	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	ATP5G2	Hs.524464	188	AA464312,  NM_001002031	517; 9188; 415116	pT3T7-Pac	752	1	14	2		
39	cDNA_clone	IMAGE:49351	Plexin A3	PLXNA3	Hs.21432	188	H15503,  NM_017514	55558	LafmBA	1500	1	15	2		
40	cDNA_clone	IMAGE:291478	Runt-related transcription factor 3	RUNX3	Hs.170019	188	N67778,  NM_004350	864	pT3T7-Pac	1651	1	16	2		
41	cDNA_clone	IMAGE:345063	Calcium channel, voltage-dependent, beta 1 subunit	CACNB1	Hs.635	188	W72250,  NM_000723	782	pT3T7-Pac	775	1	17	2		
42		no clone									1	18	2	--NO CLONE	
43	cDNA_clone	BC DDP 2 A06	(unknown)								1	19	2	BC DDP 2 A06	
44	cDNA_clone	BC DDP 2 C06	didn t grow								1	20	2	BC DDP 2 C06	
45	cDNA_clone	BC DDP 2 E06	didn t grow								1	21	2	BC DDP 2 E06	
46	cDNA_clone	BC DDP 2 G06	NM_003299 tumor rejection antigen (gp96) 1 (TRA1)(heat shock protein stress response)								1	22	2	BC DDP 2 G06	
47	cDNA_clone	BC DDP 2 A12	NM_024745 hypothetical protein FLJ22009 (FLJ22009) mRNA(unknown)								1	23	2	BC DDP 2 A12	
48	cDNA_clone	BC DDP 2 C12	NM_002534 2  5 -oligoadenylate synthetase 1(apoptosis)								1	24	2	BC DDP 2 C12	
49	cDNA_clone	IMAGE:491001	Glyoxalase I	GLO1	Hs.268849	188	AA136710,  NM_006708	2739	pT3T7-Pac	1434	1	1	3		
50	cDNA_clone	IMAGE:203240	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	Hs.481980	188	H54577,  NM_001343	1601	NO DATA FOR THIS CLONE IN UNIGENE BUILD 106.		1	2	3		
51	cDNA_clone	IMAGE:754601	Phospholipase C-like 1	PLCL1	Hs.153322	188	AA411387,  NM_006226	5334	pT7T3D	1159	1	3	3		
52	cDNA_clone	IMAGE:813460	Proprotein convertase subtilisin/kexin type 7	PCSK7	Hs.443752	188	AA455955,  NM_004716	9159	pT3T7-Pac	853	1	4	3		
53	cDNA_clone	IMAGE:769645	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	NDST2	Hs.225129	188	AA428321,  NM_003635	8509	pT3T7-Pac	1434	1	5	3		
54	cDNA_clone	IMAGE:122915	CDNA FLJ40222 fis, clone TESTI2021785	N/A	Hs.568958	188	AK097541	N/A	pT7T3D	1275	1	6	3		
55	cDNA_clone	IMAGE:813673	Hepatoma-derived growth factor (high-mobility group protein 1-like)	HDGF	Hs.506748	188	AA453831,  NM_004494	3068	pT7T3D	807	1	7	3		
56	cDNA_clone	IMAGE:325062	Solute carrier family 20 (phosphate transporter), member 1	SLC20A1	Hs.187946	188	W47073,  NM_005415	6574	pT3T7-Pac	1383	1	8	3		
57	cDNA_clone	IMAGE:143846	Low density lipoprotein-related protein 2	LRP2	Hs.470538	188	R76808,  NM_004525	4036	pT3T7-Pac	1310	1	9	3		
58	cDNA_clone	IMAGE:470175	Mature T-cell proliferation 1	MTCP1	Hs.6917	188	AA029308,  NM_014221	4515	pT3T7-Pac	1176	1	10	3		
59	cDNA_clone	IMAGE:230218	Biogenesis of lysosome-related organelles complex-1, subunit 1	BLOC1S1	Hs.94672	188	H94912,  NM_001487	2647	pT3T7-Pac	1000	1	11	3		
60	cDNA_clone	IMAGE:265874	Nuclear factor I/C (CCAAT-binding transcription factor)	NFIC	Hs.170131	188	N20996,  NM_205843	4782	pT3T7-Pac	1732	1	12	3		
61	cDNA_clone	IMAGE:840788	Thymosin, beta 10	TMSB10	Hs.446574	188	AA486145,  NM_021103	9168	pBluescriptSK-	758	1	13	3		
62	cDNA_clone	IMAGE:33690	Cleavage and polyadenylation specific factor 6, 68kDa	CPSF6	Hs.369606	188	R18985,  NM_007007	11052	LafmBA	2000	1	14	3		
63	cDNA_clone	IMAGE:813678	Solute carrier family 1 (glial high affinity glutamate transporter), member 3	SLC1A3	Hs.481918	188	AA453823,  NM_004172	6507; 26107	pT3T7-Pac	1145	1	15	3		
64	cDNA_clone	IMAGE:274638	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	CAD	Hs.377010	188	R84263,  NM_004341	790	pT3T7-Pac	2000	1	16	3		
65	cDNA_clone	IMAGE:950607	SET translocation (myeloid leukemia-associated)	SET	Hs.436687	188	AA608548,  NM_003011	6418	pBluescriptSK-	1563	1	17	3		
66	cDNA_clone	IMAGE:782692	Phosphatidylinositol 4-kinase, catalytic, beta polypeptide	PIK4CB	Hs.527624	188	AA448094,  NM_002651	5298	pT3T7-Pac	619	1	18	3		
67	cDNA_clone	IMAGE:786607	Transcription elongation factor A (SII)-like 1	TCEAL1	Hs.95243	188	AA451969,  NM_004780	9338	pT3T7-Pac	1393	1	19	3		
68	cDNA_clone	IMAGE:843319	HIV-1 Rev binding protein	HRB	Hs.352962	188	AA485958,  NM_004504	3267; 285086	pBluescriptSK-	1225	1	20	3		
69	cDNA_clone	IMAGE:773217	Chromosome 16 open reading frame 35	C16orf35	Hs.19699	188	AA425757,  NM_012075	8131	pT3T7-Pac	1919	1	21	3		
70	cDNA_clone	IMAGE:49260	Similar to expressed sequence AW125688|ATPase type 13A5	N/A|ATP13A5	MULTIPLE: Hs.12840|Hs.407490	188	H16615	441151|344905	LafmBA	1842	1	22	3		
71	cDNA_clone	IMAGE:40580	5-hydroxytryptamine (serotonin) receptor 2A	HTR2A	Hs.424980	188	R55130,  NM_000621	3356	LafmBA	1500	1	23	3		
72	cDNA_clone	IMAGE:877613	Dynactin 1 (p150, glued homolog, Drosophila)	DCTN1	Hs.516111	188	AA488168,  NM_004082	1639	pT3T7-Pac	747	1	24	3		
73	cDNA_clone	IMAGE:49352	Annexin A7	ANXA7	Hs.386434	188	H15446,  NM_004034	310	LafmBA	2000	1	1	4		
74	cDNA_clone	IMAGE:85624	Complement component 4 binding protein, alpha	C4BPA	Hs.1012	188	T62100,  NM_000715	722	pBluescriptSK-	1000	1	2	4		
75	cDNA_clone	IMAGE:739183	CD68 antigen	CD68	Hs.246381	188	AA421420,  NM_001251	968; 652965; 26781	pT3T7-Pac	1563	1	3	4		
76	cDNA_clone	IMAGE:208413	Hepsin (transmembrane protease, serine 1)	HPN	Hs.182385	188	H62162,  NM_182983	3249	pT3T7-Pac	752	1	4	4		
77	cDNA_clone	IMAGE:341588	Fibrillin 2 (congenital contractural arachnodactyly)|Eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa	FBN2|EIF2B3	MULTIPLE: Hs.519294|Hs.533549	188	W58367	2201|8891	pT3T7-Pac	888	1	5	4		
78	cDNA_clone	IMAGE:714426	Cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa	CSTF2	Hs.132370	188	AA291995,  NM_001325	1478	pT3T7-Pac	820	1	6	4		
79	cDNA_clone	IMAGE:343646	Mitochondrial ribosomal protein L27|V-ski sarcoma viral oncogene homolog (avian)	MRPL27|SKI	MULTIPLE: Hs.7736|Hs.467529	188	W69555	51264|6497; 57244	pT3T7-Pac	779	1	7	4		
80	cDNA_clone	IMAGE:566760	Down-regulator of transcription 1, TBP-binding (negative cofactor 2)	DR1	Hs.348418	188	AA132094,  NM_001938	1810	pBluescriptSK-	2000	1	8	4		
81	cDNA_clone	IMAGE:416567	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	SERPINA5	Hs.510334	188	W86431,  NM_000624	5104	pT3T7-Pac	1084	1	9	4		
82	cDNA_clone	IMAGE:128753	Cytochrome P450, family 17, subfamily A, polypeptide 1	CYP17A1	Hs.438016	188	R14607,  NM_000102	1586	pT3T7-Pac	1038	1	10	4		
83	cDNA_clone	IMAGE:46367	Choline kinase alpha	CHKA	Hs.77221	188	H09959,  NM_001277	1119	LafmBA	1500	1	11	4		
84	cDNA_clone	IMAGE:431655	CD37 antigen	CD37	Hs.166556	188	AA676453,  NM_001774	951	pT3T7-Pac	924	1	12	4		
85	cDNA_clone	IMAGE:206795	Asialoglycoprotein receptor 2	ASGR2	Hs.567238	188	R98050,  NM_080912	433	pT3T7-Pac	1697	1	13	4		
86	cDNA_clone	IMAGE:455128	Cyclin F	CCNF	Hs.1973	188	AA676797,  NM_001761	899	pT3T7-Pac	858	1	14	4		
87	cDNA_clone	IMAGE:859586	Cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	Hs.467637	188	AA668681,  NM_001791	998	pBluescriptSK-	1446	1	15	4		
88	cDNA_clone	IMAGE:789383	CAMP responsive element modulator	CREM	Hs.200250	188	AA453347,  NM_183013	1390	pT3T7-Pac	1225	1	16	4		
89	cDNA_clone	IMAGE:279172	Aquaporin 4	AQP4	Hs.315369	188	N47162,  NM_001650	361	pT3T7-Pac	1500	1	17	4		
90	cDNA_clone	IMAGE:202958	Keratin associated protein 4-7|Opa interacting protein 5	KRTAP4-7|OIP5	MULTIPLE: Hs.549512|Hs.567421	188	H54476	85287|11339	pT3T7-Pac	1225	1	18	4		
91	cDNA_clone	IMAGE:291216	Centrin, EF-hand protein, 2	CETN2	Hs.82794	188	W00474,  NM_004344	1069	pT3T7-Pac	1046	1	19	4		
92	cDNA_clone	IMAGE:399532	Polymerase (RNA) I polypeptide C, 30kDa	POLR1C	Hs.520146	188	AA733038,  NM_203290	9533	pT3T7-Pac	592	1	20	4		
93	cDNA_clone	IMAGE:486607	Ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	UBE2E1	Hs.164853	188	AA044025,  NM_003341	7324	pT3T7-Pac	931	1	21	4		
94	cDNA_clone	IMAGE:161172	Mesenchyme homeo box 2 (growth arrest-specific homeo box)	MEOX2	Hs.527007	188	H25223,  NM_005924	4223	pT3T7-Pac	1084	1	22	4		
95	cDNA_clone	IMAGE:324885	Mitochondrial ribosomal protein L49	MRPL49	Hs.75859	188	W48701,  NM_004927	740	pT3T7-Pac	725	1	23	4		
96	cDNA_clone	IMAGE:449058	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	ROBO1	Hs.13640	188	AA777406,  NM_133631	6091	pT3T7-Pac	1202	1	24	4		
97	cDNA_clone	IMAGE:452544	Transcribed locus	N/A	Hs.122065	188	AA778830,  AI248815	N/A	pT3T7-Pac	1440	1	1	5		
98	cDNA_clone	IMAGE:247211	BAT2 domain containing 1	XTP2	Hs.494614	188	N57921,  NM_015172	23215	pT3T7-Pac	968	1	2	5		
99	cDNA_clone	IMAGE:247352	Transcribed locus	N/A	Hs.554368	188	N57998,  AA832510	N/A	pT3T7-Pac	1697	1	3	5		
100	cDNA_clone	IMAGE:220661	CDNA clone IMAGE:4329532	N/A	Hs.133009	188	H87802,  AK126449	N/A	pT3T7-Pac	1768	1	4	5		
101	cDNA_clone	IMAGE:248137	E1A binding protein p300	EP300	Hs.517517	188	N78019,  NM_001429	2033	pT3T7-Pac	878	1	5	5		
102	cDNA_clone	IMAGE:240983	YjeF domain containing (E.coli)	FLJ21128	Hs.96852	188	H80999,  NM_025083	80153	pT3T7-Pac	1343	1	6	5		
103	cDNA_clone	IMAGE:268199	N/A	N/A	N/A	188		N/A	NO DATA FOR THIS CLONE IN UNIGENE BUILD 106.		1	7	5		IMAGE:268199
104	cDNA_clone	IMAGE:194361	Caspase recruitment domain family, member 8	CARD8	Hs.446146	188	H50776,  NM_014959	22900	pT3T7-Pac	1697	1	8	5		
105	cDNA_clone	IMAGE:194488	Transcribed locus	N/A	Hs.572364	188	BX103792	N/A	pT3T7-Pac	899	1	9	5		
106	cDNA_clone	IMAGE:1408407	Cysteine-rich secretory protein 2	CRISP2	Hs.2042	188	AA868278,  NM_003296	7180	pT3T7-Pac	820	1	10	5		
107	cDNA_clone	IMAGE:489489	Lamin B receptor	LBR	Hs.435166	188	AA099136,  NM_002296	3930	pT3T7-Pac	1046	1	11	5		
108	cDNA_clone	IMAGE:83011	Ribosomal protein S4, Y-linked 1	RPS4Y1	Hs.282376	188	T70522,  NM_001008	6192	pBluescriptSK-	915	1	12	5		
109	cDNA_clone	IMAGE:85171	ADP-ribosylation factor 4	ARF4	Hs.148330	188	T71460,  NM_001660	378	pBluescriptSK-	1574	1	13	5		
110	cDNA_clone	IMAGE:769542	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase-associated 1)	P4HB	Hs.464336	188	AA426212,  NM_000918	5034	pT3T7-Pac	1176	1	14	5		
111	cDNA_clone	IMAGE:878259	Peroxiredoxin 1	PRDX1	Hs.180909	188	AA775803,  NM_002574	5052	pT3T7-Pac	1248	1	15	5		
112	cDNA_clone	IMAGE:826984	Complement component (3d/Epstein Barr virus) receptor 2	CR2	Hs.445757	188	AA521362,  NM_001006658	1380	pT3T7-Pac	1697	1	16	5		
113	cDNA_clone	IMAGE:50794	Zinc finger protein 133 (clone pHZ-13)	ZNF133	Hs.472221	188	H17047,  NM_003434	7692	LafmBA	2000	1	17	5		
114	cDNA_clone	IMAGE:85561	Cytochrome P450, family 2, subfamily A, polypeptide 6	CYP2A6	Hs.439056	188	NM_000762	1548	pBluescriptSK-	1574	1	18	5		
115	cDNA_clone	IMAGE:564050	Clathrin, light polypeptide (Lca)	CLTA	Hs.522114	188	AA114226,  NM_007096	1211	pBluescriptSK-	728	1	19	5		
116	cDNA_clone	IMAGE:125134	CD48 antigen (B-cell membrane protein)	CD48	Hs.243564	188	R05416,  NM_001778	962	pT3T7-Pac	1446	1	20	5		
117	cDNA_clone	IMAGE:809523	Apolipoprotein C-II	APOC2	Hs.75615	188	AA456474,  NM_000483	344	pT3T7-Pac	700	1	21	5		
118	cDNA_clone	IMAGE:249688	Cyclin D2	CCND2	Hs.376071	188	H84153,  NM_001759	894	pT3T7-Pac	1500	1	22	5		
119	cDNA_clone	IMAGE:727526	Centromere protein E, 312kDa	CENPE	Hs.75573	188	AA411850,  NM_001813	1062	pT3T7-Pac	1145	1	23	5		
120	cDNA_clone	IMAGE:241365	Hypothetical protein HSPC111|HIG1 domain family, member 2A	HSPC111|MGC2198	MULTIPLE: Hs.529475|Hs.534575	188	H81200	51491|192286	pT3T7-Pac	937	1	24	5		
121	cDNA_clone	IMAGE:138374	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)	PCNP	Hs.275865	188	R68146,  NM_020357	57092; 144108	pT3T7-Pac	1366	1	1	6		
122	cDNA_clone	IMAGE:366085	KIAA1280 protein	KIAA1280	Hs.527524	188	AA071470,  NM_015691	55841	pT3T7-Pac	1184	1	2	6		
123	cDNA_clone	IMAGE:123805	Interleukin 12 receptor, beta 2	IL12RB2	Hs.479347	188	R01220,  NM_001559	3595	pT3T7-Pac	1795	1	3	6		
124	cDNA_clone	IMAGE:124132	Dishevelled associated activator of morphogenesis 1	DAAM1	Hs.19156	188	R01235,  NM_014992	23002	pT3T7-Pac	1248	1	4	6		
125	cDNA_clone	IMAGE:130972	Chromosome 9 open reading frame 27	C9orf27	Hs.23367	188	R22919,  NM_021208	58483	pT3T7-Pac	915	1	5	6		
126	cDNA_clone	IMAGE:687990	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	ARHGEF6	Hs.522795	188	AA236957,  NM_004840	9459	pT3T7-Pac	1768	1	6	6		
127	cDNA_clone	IMAGE:245970	Bone marrow stromal cell antigen 1	BST1	Hs.169998	188	N72947,  NM_004334	683	pT3T7-Pac	1328	1	7	6		
128	cDNA_clone	IMAGE:809578	Ribosomal protein S5	RPS5	Hs.378103	188	AA455795,  NM_001009	6193	pT7T3D	1000	1	8	6		
129	cDNA_clone	IMAGE:682522	Proprotein convertase subtilisin/kexin type 5	PCSK5	Hs.368542	188	AA256399,  NM_006200	5125	pT7T3D	779	1	9	6		
130	cDNA_clone	IMAGE:204897	Phospholipase C, gamma 2 (phosphatidylinositol-specific)	PLCG2	Hs.413111	188	H57180,  NM_002661	5336	pT7T3D	1275	1	10	6		
131	cDNA_clone	IMAGE:823940	Transducer of ERBB2, 1	TOB1	Hs.531550	188	AA490213,  NM_005749	10140	pT7T3D	931	1	11	6		
132	cDNA_clone	IMAGE:812975	Ankyrin repeat domain 15	ANKRD15	Hs.306764	188	AA464605,  NM_153186	23189	pT3T7-Pac	899	1	12	6		
133	cDNA_clone	IMAGE:30885	Squamous cell carcinoma antigen recognised by T cells 3	SART3	Hs.506663	188	R41779,  NM_014706	9733	LafmBA	1817	1	13	6		
134	cDNA_clone	IMAGE:137794	Activin A receptor, type IIB	ACVR2B	Hs.517775	188	R68531,  NM_001106	93	NO DATA FOR THIS CLONE IN UNIGENE BUILD 106.		1	14	6		
135	cDNA_clone	IMAGE:194214	TGFB-induced factor (TALE family homeobox)|Transcribed locus	TGIF|N/A	MULTIPLE: Hs.373550|Hs.485903	188		7050|N/A	pT3T7-Pac	1197	1	15	6		IMAGE:194214
136	cDNA_clone	IMAGE:366558	Ran GTPase activating protein 1|Catenin (cadherin-associated protein), alpha 1, 102kDa	RANGAP1|CTNNA1	MULTIPLE: Hs.183800|Hs.445981	188	AA026669	5905|1495	pT3T7-Pac	924	1	16	6		
137	cDNA_clone	IMAGE:469686	Ras-like without CAAX 1	RIT1	Hs.491234	188	AA027840,  NM_006912	6016	pT3T7-Pac	1500	1	17	6		
138	cDNA_clone	IMAGE:450257	Chromosome 10 open reading frame 11	C10orf11	Hs.118161	188	NM_032024	83938	pT3T7-Pac	888	1	18	6		
139	cDNA_clone	IMAGE:450278	Chromosome 9 open reading frame 28	C9orf28	Hs.162659	188	AA703587,  NM_033446	89853	pT3T7-Pac	1041	1	19	6		
140	cDNA_clone	IMAGE:450290	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	DDX58	Hs.190622	188	AA682834,  NM_014314	23586	pT3T7-Pac	728	1	20	6		
141	cDNA_clone	IMAGE:434868	CDNA clone IMAGE:6171379, containing frame-shift errors	N/A	Hs.463172	188	AA701234,  BG105410	N/A	pT3T7-Pac	924	1	21	6		
142	cDNA_clone	IMAGE:460453	Protein kinase C, beta 1	PRKCB1	Hs.460355	188	AA677679,  NM_002738	5579	pT3T7-Pac	700	1	22	6		
143	cDNA_clone	IMAGE:460460	N/A	N/A	N/A	188	AA677671	N/A	pT3T7-Pac	1129	1	23	6		
144	cDNA_clone	IMAGE:452454	Homo sapiens, clone IMAGE:5191582, mRNA	N/A	Hs.399280	188	AA704799,  BC044939	N/A	pT3T7-Pac	1732	1	24	6		
145	cDNA_clone	IMAGE:112559	Hypothetical protein DKFZp434K2435	DKFZp434K2435	Hs.444668	188	NM_032256	84216	pT3T7-Pac	1651	1	1	7		
146	cDNA_clone	IMAGE:201028	Zinc finger protein 326	ZNF326	Hs.306221	188	H48269,  NM_182976	284695	pT3T7-Pac	2000	1	2	7		
147	cDNA_clone	IMAGE:133440	RAN binding protein 2	RANBP2	Hs.199561	188	R27248,  NM_006267	5903	pT3T7-Pac	1225	1	3	7		
148	cDNA_clone	IMAGE:79000	MOCO sulphurase C-terminal domain containing 1	FLJ22390	Hs.497816	188	T62164,  NM_022746	64757	pBluescriptSK-	1629	1	4	7		
149	cDNA_clone	IMAGE:22279	TRAF3 interacting protein 2	C6orf4	Hs.486228	188	T87216,  NM_147686	10758	LafmBA	1817	1	5	7		
150	cDNA_clone	IMAGE:51391	Proteasome (prosome, macropain) subunit, alpha type, 5	PSMA5	Hs.485246	188	H18920,  NM_002790	5686	LafmBA	1732	1	6	7		
151	cDNA_clone	IMAGE:41391	Cytochrome P450, family 4, subfamily X, polypeptide 1	CYP4X1	Hs.439760	188	R56123,  NM_178033	260293	LafmBA	1371	1	7	7		
152	cDNA_clone	IMAGE:50530	CDNA clone IMAGE:4799216	N/A	Hs.567973	188	H17919,  BC036427	N/A	LafmBA	1651	1	8	7		
153	cDNA_clone	IMAGE:51420	CDNA FLJ43172 fis, clone FCBBF3007242	N/A	Hs.446660	188	H20716,  AK125162	N/A	LafmBA	1919	1	9	7		
154	cDNA_clone	IMAGE:1556322	N/A	N/A	N/A	188		N/A	pT3T7-Pac	1402	1	10	7		IMAGE:1556322
155	cDNA_clone	IMAGE:1541898	Transcribed locus	N/A	Hs.181536	188	AA927950,  BX106146	N/A	pT3T7-Pac	1612	1	11	7		
156	cDNA_clone	IMAGE:1556536	Sirtuin (silent mating type information regulation 2 homolog) 7 (S. cerevisiae)	SIRT7	Hs.528641	188	AA935564,  NM_016538	51547	pT3T7-Pac	601	1	12	7		
157	cDNA_clone	IMAGE:1561214	E2a-Pbx1-associated protein	EB-1	Hs.506458	188	AA975497,  NM_152788	56899	pT3T7-Pac	1275	1	13	7		
158	cDNA_clone	IMAGE:1564111	Transcribed locus	N/A	Hs.127665	188	AA960898,  BX095492	N/A	pT3T7-Pac	617	1	14	7		
159	cDNA_clone	IMAGE:1564174	FLJ42418 protein	FLJ42418	Hs.446195	188	AA960962,  NM_001001695	400941	pT3T7-Pac	779	1	15	7		
